Allow RapLink Feed,Availability,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Clarity,Color,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,Cut Grade,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,Polish,RapNet Discount %,RapNet Price,Shape,Size,State,Star Length,Stock #,Symmetry,Table %,Trade Show,BGM,Full List Price,Second Site
Y,,,,6302667134,6302667134.pdf,VS2,F,Additional clouds; pinpoints; internal graining an   K.T.S:Crystal; Cloud; Feather; Needle,ISRAEL,0.0,0.0,NON,,67.5,https://segoma.com/v.aspx?type=view&id=LGMOLCK9S4,Y,,,        ,,,,NON,0.00,,THK,STK,GIA,9.51 x  7.06 x  4.77,,,,    , 0.0,EX,-0.38,13020,EM, 3.02,,  0,AZ323-15,EX,61,HK-March2019,,0,
Y,,,,6312422234,6312422234.pdf,SI1,H,Clouds are not shown. Pinpoints are not shown.   K.T.S:Feather; Crystal; Cavity; Needle; Knot,ISRAEL,0.0,0.0,NON,,53.5,https://segoma.com/v.aspx?type=view&id=WB4ROAEZVO,Y,,,        ,,,,NON,0.00,Faceted,ETK,STK,GIA,12.54 x  8.51 x  4.56,,,,    , 0.0,VG,-0.30,8400,PS, 3.00,,  0,AZ344-15,VG,59,HK-March2019,,0,
Y,,,,2195483267,2195483267.pdf,IF,I,Minor details of polish are not shown.   K.T.S:,HONG KONG,0.0,0.0,VSM,,63.6,https://segoma.com/v.aspx?type=view&id=DQ1UO8C9EN,Y,,,        ,,,Blue,VST,0.00,Faceted,ETK,MED,GIA,12.44 x  8.09 x  5.15,,,,    , 0.0,VG,-0.45,9350,PS, 3.12,,  0,AZ350-15,G,56,HK-March2019,,0,
Y,,,,2151819691,2151819691.pdf,VVS2,J,Additional pinpoints are not shown.   K.T.S:Pinpoint; Indented Natural; Natural,ISRAEL,35.0,13.5,NON,G,62.2,https://segoma.com/v.aspx?type=view&id=0LTJEQRQWW,Y,,,        ,,,,NON,0.00,Faceted,VTK,THN,GIA,9.15 x  9.08 x  5.67,,,,41.0,43.5,VG,-0.42,8410,RBC, 3.01,, 55,AZ361-11,G,62,HK-March2019,,0,
Y,,,,2287421372,2287421372.pdf,SI1,L,Pinpoints are not shown.   K.T.S:Crystal; Needle,ISRAEL,36.0,15.0,NON,EX,62.6,https://segoma.com/v.aspx?type=view&id=PG4PF9HXP9,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,9.39 x  9.34 x  5.86,,,,41.0,43.5,EX,-0.32,5440,RBC, 3.22,, 50,AZ374-15,EX,59,HK-March2019,,0,
Y,,,,2185278090,,,,,ISRAEL,0.0,0.0,,,0.0,https://segoma.com/v.php?type=inner&id=4UQP3HYM44,Y,,,BROWN   ,DEEP,ORANGE,,,0.00,,,,GIA,8.26 x  7.52 x  5.90,,,,    , 0.0,,     ,2000,, 3.04,,  0,AZ399-10,,  ,HK-March2019,,0,
Y,,,,2185776311,2185776311.pdf,SI2,,Pinpoints are not shown. An inscription is present  Fancy Intense Yellow; Natural Even K.T.S:Crystal; Indented Natural,ISRAEL,0.0,0.0,NON,,70.3,https://segoma.com/v.php?type=inner&id=1HTJJXBEXX,Y,,,YELLOW  ,INTENSE,,,NON,0.00,Faceted,ETK,THK,GIA,8.12 x  7.54 x  5.30,,,,    , 0.0,EX,     ,7400,CUSH, 3.01,,  0,AZ399-12,VG,59,HK-March2019,,0,
Y,,,,6292052382,6292052382.pdf,VS2,S-T,K.T.S:Crystal; Cloud; Feather; Pinpoint,ISRAEL,0.0,0.0,NON,,69.1,AZ399-24.JPG,Y,,,        ,,,,FNT,0.00,Faceted,,VTK,GIA,8.81 x  7.48 x  5.17,,,,    , 0.0,EX,     ,3500,CUSH, 3.11,,  0,AZ399-24,VG,63,HK-March2019,,0,
Y,,,,345846534,,VS2,H,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,SLIGHT,0.00,,,,IGI,10.06 x  8.77 x  6.57,,,,    , 0.0,G,     ,9450,OLDC, 4.31,,  0,AZ443-01,G,55,HK-March2019,,0,
Y,,,,2286632824,2286632824.pdf,VVS1,S-T,Surface graining is not shown.   K.T.S:Indented Natural; Feather; Cavity; Natural;,ISRAEL,0.0,0.0,NON,,69.9,,Y,,,        ,,,,FNT,0.00,,ETK,VTK,GIA,8.69 x  8.28 x  5.79,,,,    , 0.0,EX,     ,3800,RAD, 4.03,,  0,AZ499-87,VG,58,HK-March2019,,0,
Y,,,,1152079405,1152079405.pdf,IF,E,Minor details of polish are not shown.   K.T.S:,ISRAEL,0.0,0.0,NON,,47.1,https://segoma.com/v.aspx?type=view&id=3OF3ESIG6P,Y,,,        ,,,,NON,0.00,Faceted,VTK,STK,GIA,11.89 x 12.11 x  5.70,,,,    , 0.0,EX,-0.45,36300,HS, 5.04,,  0,AZ510-11,VG,60,HK-March2019,,0,
Y,,,,10019494001,,SI1,H,,ISRAEL,0.0,0.0,POINTED,VG,62.1,https://up.diacam360.com/scan/fd97_52787,Y,,,        ,,,,SLIGHT,0.00,Faceted,,MED;,HRD,10.87 x 10.97 x  6.78,,,,    , 0.0,EX,-0.50,12000,RBC, 5.04,,  0,AZ555-1,EX,59,HK-March2019,,0,
Y,,,,D90505249IL,,VS1,J,,ISRAEL,0.0,0.0,,,66.6,,Y,,,        ,,,,FAINT,0.00,,,,IGL,9.40 x  9.42 x  6.26,,,,    , 0.0,VG,-0.70,5100,ASH, 5.01,,  0,AZ572-11,VG,65,,,0,
Y,,,,5202229587,5202229587.pdf,SI1,N,K.T.S:Feather; Cavity; Pinpoint; Natural,ISRAEL,0.0,0.0,NON,,67.0,,Y,,,        ,,,,NON,0.00,,THK,THN,GIA,11.85 x  8.28 x  5.55,,,,    , 0.0,G,     ,5000,EM, 5.01,,  0,AZ577-01,G,75,,,0,
Y,,,,2185462956,2185462956.pdf,VS2,,Fancy Yellow; Natural Even K.T.S:Feather; Indented Natural; Cavity; Natural;,ISRAEL,0.0,0.0,NON,,69.9,https://segoma.com/v.aspx?type=view&id=UKI7G536DR,Y,,,YELLOW  ,FANCY,,,NON,0.00,Faceted,ETK,VTK,GIA,9.60 x  8.79 x  6.14,,,,    , 0.0,VG,     ,7500,CUSH, 5.03,,  0,AZ599-01,G,67,HK-March2019,,0,
Y,,,,F4E81046,,,YTREA,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,STRONG,0.00,,,,IGI,5.64 x  5.51 x  4.05,,,,    , 0.0,,     ,1600,PR, 1.00,,  0,AZBR-PR12,,  ,,,0,
Y,,,,2151225661,2151225661.pdf,VS2,D,,ISRAEL,0.0,0.0,NON,,51.1,https://segoma.com/v.aspx?type=view&id=OWH0XBCQUC,Y,,,        ,,,,NON,0.00,Faceted,ETK,THN,GIA,6.11 x  6.78 x  3.47,,,,    , 0.0,VG,-0.30,4060,HS, 0.92,,  0,AZHD-003-11,VG,57,,,0,
Y,,,,2165641037,2165641037.pdf,I1,,Pinpoints are not shown.  Fancy Brownish Yellow; Natural Even K.T.S:Feather; Crystal; Cavity; Needle; Indented N,ISRAEL,0.0,0.0,NON,,62.3,https://segoma.com/v.aspx?type=view&id=WVH3507BJJ,Y,,,YELLOW  ,FANCY,BROWNISH,Blue,MED,0.00,Faceted,VTK,THN,GIA,13.13 x 11.86 x  7.39,,,,    , 0.0,VG,     ,6000,CUSH, 9.05,,  0,AZHD-1011,G,61,HK-March2019,,0,
Y,,,,2145470604,2145470604.pdf,VVS1,E,K.T.S:Pinpoint; Feather; Natural,ISRAEL,35.5,14.5,NON,EX,62.2,https://segoma.com/v.php?type=inner&id=7TU57X50QQ,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,6.82 x  6.79 x  4.23,,,,41.2,43.5,EX,-0.25,10350,RBC, 1.21,, 50,AZHD-110-16,EX,59,,,0,
Y,,,,5276760708,5276760708.pdf,VS1,F,Additional clouds; pinpoints and internal graining   K.T.S:Cloud,BELGIUM,0.0,0.0,NON,,59.7,,Y,,,        ,,,,NON,0.00,Faceted,THK,STK,GIA,6.00 x  6.74 x  4.02,,,,    , 0.0,VG,-0.40,4200,HS, 1.01,,  0,AZMK-122,VG,58,,,0,
Y,,,,2155581950,2155581950.pdf,VS1,,Fancy Yellow; Natural Even K.T.S:Needle; Feather; Cloud; Pinpoint; Natural,ISRAEL,0.0,0.0,NON,,67.2,https://segoma.com/v.php?type=inner&id=3UMCQN5UXX,Y,,,YELLOW  ,FANCY,,,NON,0.00,Faceted,ETK,VTK,GIA,10.92 x 10.47 x  7.03,,,,    , 0.0,VG,     ,11000,CUSH, 7.56,,  0,AZMK-799,VG,71,HK-March2019,,0,
Y,,,,,,SI1,F,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,15,    , 0.0,,     ,158,PR, 2.69,,  0,AZPR-3.0MM,,  ,HK-March2019,,0,
Y,,,,,,SI1,F,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,31,    , 0.0,,     ,158,PR, 6.79,,  0,AZPR-3.3MM,,  ,HK-March2019,,0,
Y,,,,,,SI1,F,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,8,    , 0.0,,     ,60,PR, 2.14,,  0,AZPR-3.6MM,,  ,HK-March2019,,0,
Y,,,,,,SI1,F,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,27,    , 0.0,,     ,158,PR, 8.18,,  0,AZPR-3.8MM,,  ,HK-March2019,,0,
Y,,,,,,VSSI,J,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,614,RBC, 7.86,,  0,AZRD-0107B,,  ,HK-March2019,,0,
Y,,,,,,SI1,F,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,1321,RBC, 6.39,,  0,AZRD-020AG3,,  ,HK-March2019,,0,
Y,,,,,,SI1,D,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,1103,RBC, 2.51,,  0,AZRD-020AG4,,  ,HK-March2019,,0,
Y,,,,5192351327,5192351327.pdf,I1,H,Clouds; pinpoints and surface graining are not sho   K.T.S:Feather; Crystal; Knot; Cavity; Needle,ISRAEL,36.0,15.5,NON,EX,62.3,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,8.08 x  7.99 x  5.01,,,,40.8,43.0,EX,-0.15,4845,RBC, 2.02,, 50,AZYA-42,VG,58,,,0,
Y,,,,180000092899,,SI2,H,,ISRAEL,0.0,0.0,,EX,61.5,,Y,,,        ,,,,NIL,0.00,,,,HRD,10.26 x 10.32 x  6.33,,,,    , 0.0,EX,-0.48,8320,RBC, 4.07,,  0,AZYA-45,EX,58,HK-March2019,,0,
Y,,,,314888797,,SI1,G,,ISRAEL,0.0,0.0,,,65.6,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,13.65 x  8.74 x  5.73,,,,    , 0.0,EX,-0.40,10500,PS, 4.02,,  0,AZYA-48,VG,55,HK-March2019,,0,
Y,,,,345844789,,SI2,H,,ISRAEL,0.0,0.0,,EX,62.2,https://segoma.com/v.aspx?type=view&id=VSNS2571SE,Y,,,        ,,,,NONE,0.00,,,,IGI,9.75 x  9.79 x  6.08,,,,    , 0.0,EX,-0.43,7410,RBC, 3.58,,  0,AZYA-50,EX,59,HK-March2019,,0,
Y,,,,350223205,,SI2,F,,ISRAEL,0.0,0.0,,VG,63.6,,Y,,,        ,,,,NONE,0.00,,,,IGI,6.27 x  6.32 x  4.01,,,,    , 0.0,EX,-0.48,3328,RBC, 1.01,,  0,AZYA-52,EX,58,,,0,
Y,,,,1313695539,1313695539.pdf,SI2,E,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather; Crystal; Cloud; Cavity; Needle,ISRAEL,34.0,14.5,NON,EX,62.8,https://segoma.com/v.aspx?type=view&id=SNAJPW7BIO,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,7.34 x  7.29 x  4.59,,,,41.6,44.5,EX,-0.23,6545,RBC, 1.51,, 50,AZYA-55,EX,57,HK-March2019,,0,
Y,,,,6325138671,6325138671.pdf,SI2,F,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather; Cloud; Crystal; Cavity; Needle,ISRAEL,0.0,0.0,NON,,71.1,https://segoma.com/v.aspx?type=view&id=3D4COZHMEV,Y,,,        ,,,,NON,0.00,,THK,MED,GIA,8.15 x  7.97 x  5.66,,,,    , 0.0,EX,-0.35,7735,PR, 3.01,,  0,AZYA-60,VG,68,,,0,
Y,,,,190000019082,,SI2,G,,ISRAEL,0.0,0.0,,VG,64.0,,Y,,,        ,,,,,0.00,,,,HRD,9.47 x  9.59 x  6.11,,,,    , 0.0,EX,-0.45,7700,RBC, 3.55,,  0,AZYA-61,EX,55,,,0,
Y,,,,190000031019,190000031019.pdf,si1,G,,ISRAEL,0.0,13.0,pointed,,67.9,,Y,,,        ,,,,medium,5.50,Faceted,,thick,HRD,7.69 x  6.64 x  4.51,,,,    , 0.0,Exc,-0.55,4725,CUSH, 2.02,,  0,AZYA-62,Exc,65,,,0,
Y,,,,1327574305,1327574305.pdf,SI2,F,Additional twinning wisps; clouds; pinpoints and s   K.T.S:Twinning Wisp; Feather; Crystal; Knot; Inden,ISRAEL,0.0,0.0,NON,,66.3,,Y,,,        ,,,,NON,0.00,Faceted,VTK,THK,GIA,10.54 x  6.84 x  4.54,,,,    , 0.0,EX,-0.37,5544,PS, 2.00,,  0,AZYA-64,VG,53,,,0,
Y,,,,2327698086,,SI2,G,,ISRAEL,0.0,0.0,,VG,63.4,,Y,,,        ,,,,NONE,0.00,,,,GIA,7.91 x  7.96 x  5.03,,,,    , 0.0,EX,-0.42,5800,RBC, 2.01,,  0,AZYA-67,VG,56,,,0,
Y,,,,,,VS1,M,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,4500,RBC, 3.65,,  0,AZYY-10,,  ,,,0,
Y,,,,,,,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,9,    , 0.0,,     ,45000,, 1.35,,  0,JEW-PEN,,  ,HK-March2019,,0,
Y,,,,7266674685,7266674685.pdf,VS2,D,K.T.S:Indented Natural; Cavity; Feather; Natural;,ISRAEL,0.0,0.0,NON,,61.2,https://segoma.com/v.aspx?type=view&id=4QMQKAFCAI,Y,,,        ,,,,NON,0.00,Faceted,ETK,MED,GIA,12.34 x  7.59 x  4.64,,SH-114,,    , 0.0,VG,-0.49,12750,PS, 3.01,,  0,SH-135,G,52,HK-March2019,,0,
Y,,,,1186150804,1186150804.pdf,VVS2,E,Additional pinpoints are not shown. Surface graini   K.T.S:Pinpoint; Indented Natural,ISRAEL,0.0,0.0,NON,,67.6,https://segoma.com/v.aspx?type=view&id=NNXEN5QM3I,Y,,,        ,,,,NON,0.00,,VTK,THK,GIA,5.60 x  5.52 x  3.73,WeChat ID - GuyZamir,AZ102-18,,    , 0.0,EX,-0.40,5040,PR, 1.02,,  0,SH-148,VG,67,HK-March2019,,0,
Y,,,,5182986578,5182986578.pdf,SI1,H,Additional clouds are not shown. Pinpoints are not   K.T.S:Cloud; Feather; Crystal; Indented Natural; N,ISRAEL,0.0,0.0,NON,,68.8,,Y,,,        ,,,,NON,0.00,,,STK,GIA,7.52 x  6.01 x  4.14,,,,    , 0.0,EX,-0.36,4480,RAD, 1.90,,  0,SH-158,G,67,HK-March2019,,0,
Y,,,,5192454202,5192454202.pdf,SI2,G,Clouds are not shown. Pinpoints are not shown.   K.T.S:Laser Drill Hole; Feather; Crystal; Needle;,ISRAEL,0.0,0.0,NON,,58.6,https://segoma.com/v.aspx?type=view&id=TB5HVCZJTO,Y,,,        ,,,,NON,0.00,Faceted,THK,THN,GIA,11.92 x  7.51 x  4.40,,,,    , 0.0,VG,-0.25,6375,OV, 2.61,,  0,SH-168,G,60,,,0,
Y,,,,7293467547,7293467547.pdf,SI1,K,Clouds are not shown. Pinpoints are not shown.   K.T.S:Crystal; Feather; Needle,ISRAEL,0.0,0.0,NON,,69.6,,Y,,,        ,,,,NON,0.00,,,STK,GIA,7.53 x  7.40 x  5.14,,SH-173,,    , 0.0,EX,-0.30,3710,ASH, 2.54,,  0,SH-171,EX,61,HK-March2019,,0,
Y,,,,5181554414,5181554414.pdf,SI1,F,Additional clouds; internal graining and surface g   K.T.S:Feather; Cavity; Crystal; Indented Natural;,ISRAEL,0.0,0.0,NON,,60.6,https://segoma.com/v.aspx?type=view&id=RP3M72ATL8,Y,,,        ,,,,FNT,0.00,Faceted,ETK,STK,GIA,12.38 x  7.16 x  4.34,,,,    , 0.0,VG,-0.40,9600,OV, 3.01,,  0,SH-174,G,60,HK-March2019,,0,
Y,,,,6167846029,6167846029.pdf,SI2,F,Clouds are not shown.   K.T.S:Feather; Etch Channel; Crystal; Extra Facet,ISRAEL,0.0,0.0,NON,,56.9,https://segoma.com/ClientsView_new.htm,Y,,,        ,,,,NON,0.00,Faceted,VTK,THN,GIA,9.41 x  6.06 x  3.45,,,,    , 0.0,VG,-0.33,3417,PS, 1.13,,  0,SH-175,G,56,HK-March2019,,0,
Y,,,,2314351780,2314351780.pdf,VS2,F,K.T.S:Feather; Crystal; Indented Natural; Needle;,ISRAEL,0.0,0.0,NON,,61.0,https://segoma.com/v.aspx?type=view&id=H1OXVRTUJQ,Y,,,        ,,,,NON,0.00,Faceted,ETK,MED,GIA,12.06 x  7.97 x  4.86,,,,    , 0.0,EX,-0.35,13650,PS, 3.01,,  0,SH-190,G,54,HK-March2019,,0,
Y,,,,5201064193,5201064193.pdf,SI1,K,K.T.S:Feather,ISRAEL,32.0,10.5,NON,VG,58.8,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,10.45 x 10.42 x  6.13,,,,42.0,45.0,EX,-0.35,7475,RBC, 4.03,, 55,SH-204,EX,66,,,0,
Y,,,,6321501446,6321501446.pdf,VS2,D,K.T.S:Crystal; Feather; Pinpoint; Indented Natural,ISRAEL,0.0,0.0,NON,,53.1,,Y,,,        ,,,,NON,0.00,Faceted,VTK,MED,GIA,11.16 x 11.36 x  6.03,,,,    , 0.0,VG,-0.30,25200,HS, 4.51,,  0,SHRD-06,VG,58,,,0,
Y,,,,5201019694,5201019694.pdf,SI2,G,Additional twinning wisps; pinpoints and surface g   K.T.S:Crystal; Twinning Wisp; Feather; Cavity; Nat,ISRAEL,0.0,0.0,NON,,55.2,,Y,,,        ,,,,NON,0.00,Faceted,ETK,MED,GIA,16.23 x  9.35 x  5.16,,,,    , 0.0,VG,-0.33,11390,PS, 5.03,,  0,SHRD-07,G,52,,,0,
Y,,,,,,,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,21,    , 0.0,,     ,1500,, 7.61,,  0,YBR-15,,  ,HK-March2019,,0,
Y,,,,1162749995,1162749995.pdf,VVS2,W-X,,ISRAEL,33.5,12.5,VSM,VG,57.7,https://segoma.com/v.php?type=inner&id=YG07UOXWTT,Y,,,        ,,,,NON,0.00,Polished,MED,VTN,GIA,5.47 x  5.43 x  3.15,,,,40.8,43.0,VG,     ,1000,RBC, 0.56,, 55,YDD-1,G,62,,,0,
Y,,,,2304544326,2304544326.pdf,SI2,E,Additional clouds; pinpoints and manufacturing rem   K.T.S:Crystal; Feather; Cavity; Cloud; Indented Na,ISRAEL,0.0,0.0,NON,,67.0,https://segoma.com/v.aspx?type=view&id=RRY5COOLQQ,Y,,,        ,,,,NON,0.00,,VTK,MED,GIA,7.36 x  6.84 x  4.58,,,,    , 0.0,VG,-0.31,4761,RAD, 1.90,,  0,YKF-01,G,64,,,0,
Y,,,,15837742,15837742.pdf,IF,D,Minor details of polish are not shown.   K.T.S:Extra Facet,ISRAEL,0.0,0.0,NON,,43.8,,Y,,,        ,,,,NON,0.00,Faceted,VTK,ETN,GIA,7.33 x  7.94 x  3.48,,,,    , 0.0,G,-0.55,6525,HS, 1.17,,  0,YROZ-04,G,66,,,0,
Y,,,,2111477169,,IF,D,Surface graining is not shown.   K.T.S:,ISRAEL,35.5,15.0,NON,EX,62.3,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,6.72 x  6.69 x  4.18,,,,41.0,43.5,EX,-0.40,11880,RBC, 1.17,, 50,YROZ-05,EX,58,,,0,
Y,,,,14837865,14837865.pdf,IF,D,Surface graining is not shown.Minor details of pol   K.T.S:,ISRAEL,33.5,16.0,NON,VG,60.7,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,7.46 x  7.41 x  4.51,,,,40.4,42.5,EX,-0.49,13260,RBC, 1.50,, 50,YROZ-06,EX,52,,,0,
Y,,,,6117459933,6117459933.pdf,IF,D,Minor details of polish are not shown.   K.T.S:,ISRAEL,34.5,15.0,NON,VG,62.8,,Y,,,        ,,,,NON,0.00,Faceted,STK,THN,GIA,7.73 x  7.68 x  4.84,,,,41.8,44.5,EX,-0.45,14300,RBC, 1.74,, 55,YROZ-07,VG,56,,,0,
Y,,,,6157908393,6157908393.pdf,SI2,,Clouds; pinpoints and surface graining are not sho  Fancy Intense Yellow; Natural Even K.T.S:Feather; Crystal; Etch Channel; Needle; Inde,ISRAEL,0.0,0.0,NON,,71.9,,Y,,,YELLOW  ,INTENSE,,Blue,MED,0.00,Faceted,ETK,STK,GIA,7.80 x  6.37 x  4.58,,,,    , 0.0,VG,     ,6000,CUSH, 2.03,,  0,YROZ-55,G,59,HK-March2019,,0,
Y,,,,,,VVS2,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,PINK    ,,,,,0.00,,,,,,,,,    , 0.0,,     ,14000,RBC, 2.23,,  0,YROZ-70,,  ,HK-March2019,,0,
Y,,,,2181596127,2181596127.pdf,IF,,Minor details of polish are not shown. * This diam  Fancy Vivid Pink; Treated  Even K.T.S:Extra Facet,ISRAEL,0.0,0.0,NON,,67.7,,Y,,,Pink    ,Fancy Vivid,,Orange,MED,0.00,Faceted,ETK,MED,GIA,13.85 x  8.90 x  6.03,,,,    , 0.0,VG,     ,18000,PS, 4.75,,  0,YROZ-99,G,56,HK-March2019,,0,
Y,,,,,,,K,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,41,    , 0.0,,     ,1583,PS,25.45,,  0,YSEL-1,,  ,HK-March2019,,0,
Y,,,,6173868833,6173868833.pdf,SI1,G,Additional twinning wisps; pinpoints and surface g   K.T.S:,ISRAEL,0.0,0.0,MED,,71.4,https://segoma.com/v.php?type=inner&id=CXPTUJRZJJ,Y,,,        ,,,,NON,0.00,Faceted,ETK,VTK,GIA,6.93 x  6.25 x  4.46,,,,    , 0.0,G,-0.45,3135,HS, 1.31,,  0,YSEL-3,G,60,,,0,
Y,,,,2171868887,2171868887.pdf,VS2,J,Pinpoints are not shown.,ISRAEL,0.0,0.0,MED,,74.0,https://segoma.com/v.php?type=inner&id=MXA9J8W288,Y,,,        ,,,,NON,0.00,Faceted,ETK,VTK,GIA,7.36 x  5.09 x  3.77,,,,    , 0.0,VG,-0.60,1560,PS, 1.01,,  0,YSEL-4,G,48,HK-March2019,,0,
Y,,,,7311386254,7311386254.pdf,SI2,J,K.T.S:Crystal; Feather,ISRAEL,0.0,0.0,NON,,89.4,,Y,,,        ,,,,NON,0.00,,ETK,ETN,GIA,5.41 x  4.79 x  4.28,,,,    , 0.0,G,-0.50,1450,PR, 0.94,,  0,YSEL-56,F,68,,,0,
Y,,,,2360182426,,SI3,G,,ISRAEL,0.0,0.0,,,56.6,,Y,,,        ,,,,DISTINCT,0.00,,,,EGL Israel,7.26 x  6.24 x  3.53,,,,    , 0.0,VG,-0.60,1280,HS, 0.97,,  0,YSEL-ZD168,F,57,,,0,
Y,,,,7271627090,7271627090.pdf,VS1,E,Pinpoints are not shown.   K.T.S:Crystal; Cavity; Needle; Indented Natural; N,ISRAEL,0.0,0.0,NON,,51.7,https://segoma.com/v.aspx?type=view&id=0ZGVN4J3ZZ,Y,,,        ,,,,NON,0.00,Faceted,STK,VTN,GIA,6.50 x  7.69 x  3.97,,,,    , 0.0,VG,-0.45,4125,HS, 1.00,,  0,YSELD-01,G,65,,,0,
Y,,,,6315386139,6315386139.pdf,VVS2,G,K.T.S:Pinpoint; Feather; Cavity,ISRAEL,0.0,0.0,NON,,66.0,https://segoma.com/v.aspx?type=view&id=QS248LIBLM,Y,,,        ,,,,NON,0.00,,STK,THN,GIA,6.73 x  4.16 x  2.74,,,,    , 0.0,VG,-0.40,2520,EM, 0.74,,  0,YSELD-02,VG,66,,,0,
