Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
RBC,0,G,,VS1,ISRAEL,,0.71,,,2256832676,2256832676.pdf,Internal graining is not shown.  Fancy Orangy Pink, Natural Even K.T.S:Crystal, Feather, Pinpoint, Natural,,0,0,NON,,62.9,https://segoma.com/v.aspx?type=view&id=NGMOFD3TYH,Y,,,PINK    ,FANCY,ORANGY,Blue,STG,0,Faceted,STK,MED,GIA,5.73 x  5.69 x  3.59,,,    ,0,     ,35000,,0,AZ099-34,VG,58,HK-March2019,,0,,,
AZ099-41,RAD,0.68,,I2,,,,,,2175190233,,VIVID PURPLISH,ISRAEL,0,0,,,0,,Y,,,PINK    ,VIVID,PURPLISH,,,0,,,,GIA,,,,,    ,0,     ,100000,RAD,,0,  ,HK-March2019,,0,,,,,,,
     ,,    ,,I2, Cloud,4.00 x  3.89 x  2.45,40000,,,1206064938,1206064938.pdf,Additional clouds, pinpoints and internal graining  Fancy Intense Purplish Pink, Natural Even K.T.S:Etch Channel, Feather, Crystal,, Cavit,ISRAEL,0,0,NON,,62.2,,Y,,,PINK    ,INTENSE,PURPLISH,Blue,MED,0,,STK,ETN,GIA,,,,0,VG,RBC,0.23,,0,AZ099-42,F,60,,,0,
RBC,0,G,,I2,ISRAEL,,0.27,,,2205065588,2205065588.pdf,Fancy Pink, Natural Even K.T.S:Crystal, Feather, Indented Natural, Etch Cha,,0,0,NON,,64.9,,Y,,,PINK    ,FANCY,,Blue,MED,0,,VTK,MED,GIA,4.09 x  4.04 x  2.63,,,    ,0,     ,28000,,0,AZ099-43,F,62,,,0,,,
AZ099-44,RBC,1.51,,SI3,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,PINK    ,VIVID,,,,0,,,,,,,,23,    ,0,     ,60000,RBC,,0,  ,HK-March2019,,0,,,,,,,
AZ099-46,RBC,0.45,,I1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,PINK    ,,,,,0,,,,,,,,7,    ,0,     ,15000,RBC,,0,  ,,,0,,,,,,,
AZ099-70,RBC,7.51,,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,YELLOW  ,VIVID,,,,0,,,,,,,,31,    ,0,     ,5000,RBC,,0,  ,HK-March2019,,0,,,,,,,
0.62,EX,     ,,VS2,0,,,,,6194953126,6194953126.pdf,Internal graining is not shown.  Fancy Brownish Orangy Pink, Natural Even K.T.S:Indented Natural, Feather, Extra Facet,ISRAEL,,0,NON,,64.4,https://segoma.com/v.aspx?type=view&id=WLE4W80CVM,Y,,,PINK    ,FANCY,ORANGY,Blue,MED,0,Faceted,ETK,THK,GIA,6.25 x  4.52 x  2.91,,,    ,0,EX,12000,OV,0,AZ099-75,G,58,HK-March2019,,0,,,,
PS,0,VG,D,VVS1,ISRAEL,AZ112-87,1.04,,,1305497991,1305497991.pdf,Additional pinpoints are not shown. Surface graini   K.T.S:Pinpoint, Feather, Cavity, Chip, Indented Na,,0,0,NON,,59,,Y,,,        ,,,,FNT,0,Faceted,VTK,MED,GIA,9.04 x  5.76 x  3.40,,,    ,0,-0.45,6050,,0,AZ100-46,VG,54,HK-March2019,,0,,,
0,7590,OV,D,VVS1,NON,0,AZ100-50,,,1315897397,1315897397.pdf,K.T.S:Pinpoint, Indented Natural,ISRAEL,0,0,,,61.8,,Y,,,        ,,,,NON,0,Faceted,STK,THN,GIA,8.31 x  5.50 x  3.40,,AZ100-51,,    ,EX,-0.31,7590,1.04,,VG,62,,,0,,,,,,
AZ100-51,OV,1.04,D,VVS1,,EX,VG,,,2316904100,2316904100.pdf,K.T.S:Pinpoint,ISRAEL,0,0,NON,,61.5,,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,8.17 x  5.56 x  3.42,,AZ100-50,,    ,0,-0.31,7590,OV,,0,54,,,0,,,,,,,
AZ100-54,OV,1.57,D,IF,,VG,VG,,,2151386603,2151386603.pdf,Minor details of polish are not shown.   K.T.S:Natural,ISRAEL,0,0,NON,,59.1,https://segoma.com/v.aspx?type=view&id=JAFDRVPZER,Y,,,        ,,,,NON,0,Faceted,MED,VTN,GIA,9.18 x  6.74 x  3.98,,,,    ,0,-0.41,10030,OV,,0,56,HK-March2019,,0,,,,,,,
AZ101-49,PS,1.05,D,VVS2,,VG,VG,,,7312905193,7312905193.pdf,Surface graining is not shown.   K.T.S:Pinpoint,ISRAEL,0,0,NON,,61.5,https://segoma.com/v.aspx?type=view&id=EVVRMFRD46,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,8.97 x  5.68 x  3.49,,,,    ,0,-0.3,6860,PS,,0,58,HK-March2019,,0,,,,,,,
